dep,nombre
1,169
2,123
3,82
4,27
5,29
6,684
7,63
8,57
9,25
10,66
11,100
12,51
13,1234
14,150
15,28
16,89
17,147
18,77
19,49
20,48
21,188
22,137
23,9
24,68
25,115
26,98
27,129
28,114
29,261
30,198
31,667
32,31
33,853
34,440
35,317
36,52
37,242
38,430
39,54
40,89
41,81
42,306
43,45
44,611
45,263
46,25
47,66
48,13
49,247
50,92
51,143
52,27
53,51
54,225
55,30
56,185
57,310
58,49
59,983
60,170
61,53
62,508
63,247
64,233
65,51
66,108
67,318
68,230
69,1128
70,46
71,124
72,159
73,127
74,205
75,1637
76,424
77,475
78,513
79,70
80,112
81,83
82,55
83,402
84,247
85,166
86,98
87,74
88,91
89,80
90,34
91,484
92,766
93,690
94,583
95,388
